sport,name,hometown,highschool
2024 Softball ,Korbe Otis,"Littleton, Colo.",Columbine
2024 Softball ,Ariel Kowalewski,"Richmond, Texas",William B. Travis
2024 Softball ,Baylee Goddard,"Orange Park, Fla.",Oakleaf
2023-24 Men's Swimming & Diving ,Cameron Abaqueta,"Davidson, N.C.",not listed
2023-24 Men's Swimming & Diving ,Amro Al-Wir,"Amman, Jordan",not listed
2023-24 Men's Swimming & Diving ,Peter Bretzmann,"Chapel Hill, N.C.",Chapel Hill
2023-24 Men's Swimming & Diving ,Eric Brown,"Quebec, Canada",not listed
2023-24 Men's Swimming & Diving ,Scotty Buff,"Bowling Green, Ohio",Saint Francis De Sales
2023-24 Men's Swimming & Diving ,Adam Chaney,"Mason, Ohio",Mason
2023-24 Men's Swimming & Diving ,Ben Cote,"Pinellas Park, Fla.",St. Petersburg
2023-24 Men's Swimming & Diving ,Jace  Crawford,"Jacksonville, Fla.",Episcopal
2023-24 Men's Swimming & Diving ,Elisha Dees,"Jacksonville, Fla.",not listed
2023-24 Men's Swimming & Diving ,Bobby Dinunzio III,"Virginia Beach, Virginia ",Ocean Lakes
2023-24 Men's Swimming & Diving ,Peyton Donald,"Spring, Texas",Grand Oaks
2023-24 Men's Swimming & Diving ,Skip Donald,"The Woodlands, Texas",The Woodlands
2023-24 Men's Swimming & Diving ,Mateusz  Dubas,"Siemianowice Slaskie, Poland",not listed
2023-24 Men's Swimming & Diving ,Edouard Fullum-Huot,"Montreal, Canada",not listed
2023-24 Men's Swimming & Diving ,Conor Gesing,not listed,Abington Senior
2023-24 Men's Swimming & Diving ,Joaquin Gonzalez Pinero,"Buenos Aires, Argentina",Jumeirah English Speaking School
2023-24 Men's Swimming & Diving ,Daniel Gordon,"East Berlin, Pa.",not listed
2023-24 Men's Swimming & Diving ,Wesley  Hyde,Ocala. Fla,West Port
2023-24 Men's Swimming & Diving ,Billy Jones,"Jacksonville, Fla.",Stanton College Prep
2023-24 Men's Swimming & Diving ,Dawson Joyce,"Sanford, Fla.",not listed
2023-24 Men's Swimming & Diving ,Evan Keogh,"Sarasota, Fla.",Sarasota
2023-24 Men's Swimming & Diving ,Amadeusz Knop,"Nokomis, Fla.",Venice Sr.
2023-24 Men's Swimming & Diving ,Mason Laur,"Naples, Fla.",Barron Collier
2023-24 Men's Swimming & Diving ,Joshua Liendo,"Scarborough, Canada",not listed
2023-24 Men's Swimming & Diving ,Oskar Lindholm,"Aarhus, Denmark",Marselisborg Gymnasium
2023-24 Men's Swimming & Diving ,Giovanni Linscheer,"Richardson, Texas",not listed
2023-24 Men's Swimming & Diving ,Caleb Maldari,"Denver, N.C.",Laurel Springs
2023-24 Men's Swimming & Diving ,Jonny  Marshall,"Akron, Ohio",Firestone Sr.
2023-24 Men's Swimming & Diving ,Macguire  McDuff,"Saint Johns, Fla.",Bartram Trail
2023-24 Men's Swimming & Diving ,Jake Mitchell,"Carmel, Indiana",not listed
2023-24 Men's Swimming & Diving ,Aryan Nehra,"Ahmedabad, India",British International School
2023-24 Men's Swimming & Diving ,Josh Parent,"Wilbraham, Mass.",Minnechaug Regional
2023-24 Men's Swimming & Diving ,Brendan  Peacock,"Cape Coral, Fla.",Evangelical Christian School
2023-24 Men's Swimming & Diving ,Raphael Rached Windmuller,"Curitiba-PR, Brazil",NSU University
2023-24 Men's Swimming & Diving ,Aleksas Savickas,"Panevezys, Lithuania",not listed
2023-24 Men's Swimming & Diving ,Julian  Smith,"St. Augustine, Fla.",Episcopal School of Jacksonville
2023-24 Men's Swimming & Diving ,Sean Sullivan,"Carmel, Indiana",Carmel
2023-24 Men's Swimming & Diving ,Anton Svirskyi,"Zaporizhzhya, Ukraine",Brick Township High School/Sports School of Olympic Reserve No 18
2023-24 Men's Swimming & Diving ,Andrew Taylor,"Clearwater, Fla.",Countryside
2023-24 Men's Swimming & Diving ,Jack VanDeusen,"St. Augustine, Fla.",Bartram
2023-24 Men's Swimming & Diving ,Brandon  Wegner,"Orlando, Fla.",Olympia
2023-24 Women's Swimming & Diving ,Anna Auld,"West Palm Beach, Fla.",Forest Hill Community
2023-24 Women's Swimming & Diving ,Elise Bauer,Ocala. Fla.,Forest
2023-24 Women's Swimming & Diving ,Chloe Bishop,"Jupiter, Florida",Jupiter Classical Academy
2023-24 Women's Swimming & Diving ,Catie Choate,"Norcross, Ga.",Norcross
2023-24 Women's Swimming & Diving ,Melissa Cowen,"Rothesay Bay, New Zealand",Rangitoto College
2023-24 Women's Swimming & Diving ,Micayla  Cronk,"Palm Coast, Fla.",Flagler Palm Coast
2023-24 Women's Swimming & Diving ,Lilly Daley,"Toronto, Ontario",Bill Crothers Secondary School
2023-24 Women's Swimming & Diving ,Camille DeBoer,"Gainesville, Fla.",not listed
2023-24 Women's Swimming & Diving ,Leah DeGeorge,"Anchorage, Alaska",The Bolles School
2023-24 Women's Swimming & Diving ,Zoe Dixon,"Henrico, Va.",not listed
2023-24 Women's Swimming & Diving ,Molly Golding,"Hollywood, Fla.",Cooper City
2023-24 Women's Swimming & Diving ,Casey Greenberg,"Gainesville, Fla.",not listed
2023-24 Women's Swimming & Diving ,Isabel Ivey,"Gainesville, Fla.",Bucholtz
2023-24 Women's Swimming & Diving ,Madison  Kolessar,"Chester Heights, Pa.",Academy of Notre Dame
2023-24 Women's Swimming & Diving ,Lainy Kruger,"Taylor Mill, Ky.",Notre Dame Academy
2023-24 Women's Swimming & Diving ,Carina Lumia,"Indian Rocks Beach, Fla.",Osceola Fundamental
2023-24 Women's Swimming & Diving ,Michaela Mattes,"Sarasota, Fla.",Cardinal Mooney
2023-24 Women's Swimming & Diving ,Molly Mayne ,"Dubai, United Arab Emirates ",not listed
2023-24 Women's Swimming & Diving ,Carly Meeting,"New Albany, Ohio",New Albany
2023-24 Women's Swimming & Diving ,Alex Mitchell,"Brookhaven, Ga.",Rivers Academy
2023-24 Women's Swimming & Diving ,Camyla Monroy ,"Laz Paz, Mexico",not listed
2023-24 Women's Swimming & Diving ,Anna Moore,"St. Johns, Fla.",not listed
2023-24 Women's Swimming & Diving ,Ekaterina Nikonova,"Novosibirsk, Russia","School No. 12, Novosibirsk"
2023-24 Women's Swimming & Diving ,Caroline Pagac,"Lake Worth, Fla.",Parks Vista Community
2023-24 Women's Swimming & Diving ,Caroline  Pennington,"Greenwich, CT",not listed
2023-24 Women's Swimming & Diving ,Olivia Peoples,"St. Augustine, Fla.",Nease
2023-24 Women's Swimming & Diving ,Julia Podkoscielny,"Fort Lauderdale, Fla.",Pine Crest
2023-24 Women's Swimming & Diving ,Grace Rainey,"Davidson, N.C.",William Amos Hough
2023-24 Women's Swimming & Diving ,Josephine Ramey,"Fishers, Ind.",Fishers
2023-24 Women's Swimming & Diving ,Amanda Ray,"Raleigh, N.C.",Leesville Road
2023-24 Women's Swimming & Diving ,Aris Runnels,"Woodbridge, Va.",Colgan
2023-24 Women's Swimming & Diving ,Bella Sims,"Henderson, Nev.",Nevada Connections Academy
2023-24 Women's Swimming & Diving ,Summer Smith,"Agawam, Mass.",Agawam High School
2023-24 Women's Swimming & Diving ,Emma Weyant,"Sarasota, Fla.",not listed
2023-24 Women's Swimming & Diving ,Mabel Zavaros,"Burlington, Ontario, Canada",Iroquois Ridge
2023-24 Men's Tennis ,Mattia Akcan,"Milwaukee, Wis.",George Washington University Online High School
2023-24 Men's Tennis ,Nate Bonetto,"Bend, Ore.",Oregon Connections Academy
2023-24 Men's Tennis ,Kevin Edengren,"Stockholm, Sweden",not listed
2023-24 Men's Tennis ,Adhithya Ganesan,"Clarksburg, Md.",Laurel Springs
2023-24 Men's Tennis ,Henry Jefferson,"London, England",not listed
2023-24 Men's Tennis ,Jeremy Jin,"Sydney, Australia",not listed
2023-24 Men's Tennis ,JanMagnus Johnson,"Cape Coral, Fla.",not listed
2023-24 Men's Tennis ,Aidan Kim,"Milford, Mich.",Milford High School
2023-24 Men's Tennis ,Tanapatt Nirundorn,"Bangkok, Thailand / Hilton Head, S.C.",not listed
2023-24 Women's Tennis ,Carly  Briggs ,"Calhoun, Ga.",Calhoun High School
2023-24 Women's Tennis ,Sara Dahlstrom,"Stockholm, Sweden",not listed
2023-24 Women's Tennis ,Emily De Oliveira,"Bradenton, Fla.",Allendale Academy
2023-24 Women's Tennis ,Alicia Dudeney,"Hove, United Kingdom",not listed
2023-24 Women's Tennis ,Rachel Gailis,"Delray Beach, Fla.",FLVS
2023-24 Women's Tennis ,Qavia Lopez,"Delray Beach, Fla",not listed
2023-24 Women's Tennis ,Malwina Rowinska,"Warsaw, Poland",not listed
2023-24 Women's Tennis ,Bente Spee,"Heemstede, Netherlands",not listed
2023-24 Women's Tennis ,Sophie Williams,"Charleston, S.C.",Laurel Springs
2024 Volleyball ,AC Fitzpatrick,"Ocala, Fla.",Trinity Catholic
2024 Volleyball ,Gaby Cornier,"Santurce, Puerto Rico ",Chattahoochee
2024 Volleyball ,Emerson Hoyle,"Arden, N.C.",T.C Roberson High School
2024 Volleyball ,Alexis Stucky,"Laramie, Wy.",Laramie
2024 Volleyball ,Ella Vogel,"Aurora, Colorado",Chaparral High School
2024 Volleyball ,Emily Canaan,"Allen, Texas",Allen High School
2024 Volleyball ,Trinity Adams,"Radford, Va.",Radford
2024 Volleyball ,Gabrielle Essix,"Hoover, Ala.",Hoover
2024 Volleyball ,Kira Hutson,"Aurora, Ill.",Metea Valley High School
2024 Volleyball ,Madi Gravlee,"Vero Beach, Fla.",Vero Beach
2024 Volleyball ,Isabel Martin,"Mauerstetten, Bavaria, Germany",not listed
2024 Volleyball ,Kennedy Martin,"Fort Mill, S.C.",Nation Ford
2024 Volleyball ,Taylor Parks,"Clearwater, Fla.",Calvary Christian
2024 Volleyball ,Elli McKissock,"Windermere, Fla.",The First Academy
2024 Volleyball ,Alec Rothe,"Dublin, Ohio",Dublin Scioto
2024 Volleyball ,Amaya Thomas,"Orlando, Fla.",University High School
2024 Track and Field ,India Alix,"Houston, Texas",Klein High School
2024 Track and Field ,Flomena Asekol,"Kapenguria, Kenya",Sing'ore Girls High School
2024 Track and Field ,Caroline Bauer,"Williamsburg, Virginia",Jamestown High School
2024 Track and Field ,Alissa Braxton,"Long Island, New York",Commack High School
2024 Track and Field ,Kendall Brown,"Oxford, Florida",Wildwood High School
2024 Track and Field ,Claire  Bryant,"Houston, Texas",Houston Memorial High School
2024 Track and Field ,Anthaya Charlton,"Nassau, Bahamas",St. Augustine's College High School
2024 Track and Field ,Kayla Davis,"Coral Springs, Fl",Coral Springs Charter High School
2024 Track and Field ,Sayla Donnelley,"Robina, Australia",King's Christian College High School
2024 Track and Field ,Allison  Drummond,"Gainesville, Florida",Buchholz High School
2024 Track and Field ,Kate Drummond,"Gainesville, Florida",Buchholz High School
2024 Track and Field ,Jess Edwards,"Cape Coral, Florida",Canterbury High School
2024 Track and Field ,Ramiah Elliott,"Indianapolis, Indiana",North Central High School
2024 Track and Field ,Layla Haynes,"Workmans, Barbados",IMG Academy
2024 Track and Field ,Jayla Hollis,"Lancaster, Texas",DeSoto High School
2024 Track and Field ,Akari Isaac,"Tampa, Florida",Tampa Tech High School
2024 Track and Field ,Olivia Jones,"Hopkinton, Massachusetts",Hopkinton High School
2024 Track and Field ,Da'Moni Kelly,"Jacksonville, Florida",Mandarin High School
2024 Track and Field ,Ashley Klingenberg,"Altamonte Springs, Florida",Lake Brantley High School
2024 Track and Field ,Gracelyn Leiseth,"Hayti, South Dakota",Hamlin High School
2024 Track and Field ,Annie Loehle,"Jacksonville, Florida",Mandarin High School
2024 Track and Field ,Amelia Mazza-Downie,"Melbourne, Australia",Maribyrnong Secondary
2024 Track and Field ,Jasmine Montgomery,"San Antonio, Texas",Reagan High School
2024 Track and Field ,Stephy Ormsby,"Fort Myers, Florida",Fort Myers High School
2024 Track and Field ,Laila Owens,"Richmond, Texas",George Bush High School
2024 Track and Field ,Rylee Pustilnik,"Delray Beach, Florida",Spanish River High School
2024 Track and Field ,Lucinda Rourke,"Melbourne, Australia",Haileybury Girls College High School
2024 Track and Field ,Keleigh  Scallon,"Tampa, Florida",Newsome High School
2024 Track and Field ,Jordan Shapiro,"Miami, Florida",Palmetto High School
2024 Track and Field ,Vasileia Spyrou,"Palaion Faliro, Greece, P.C.",2nd Daily High School of Palaion Faliro
2024 Track and Field ,Grace Stark,"White Lake, Michigan",Lakeland High School
2024 Track and Field ,Breanna Stuart,"Canyon, Texas",Canyon High School
2024 Track and Field ,Elise Thorner,"Langport, England",Millfield High School
2024 Track and Field ,Haley Thornton,"Palm Harbor, Florida",Palm Harbor University High School
2024 Track and Field ,Parker Valby,"Tampa, Florida",East Lake High School
2024 Track and Field ,Alida van Daalen,"Rotterdam, Netherlands",not listed
2024 Track and Field ,Imani Washington,"Peachtree Corners, Georgia",Wesleyan High School
2024 Track and Field ,Vanessa Watson,"Rochester, New York",Spencerport High School
2024 Track and Field ,Melanie Welsing,"Richmond, Kentucky",Model Laboratory High School
2024 Track and Field ,Allison Wilson,"Montgomery, Texas",Montgomery High School
2024 Track and Field ,Liina  Winborn,"Turku, Finland",Sunlake High School
2024 Track and Field ,Sam  Austin,"Winter Springs, Florida",Oviedo High School
2024 Track and Field ,Adrian Bichara,"Miami, Florida",Christopher Columbus High School
2024 Track and Field ,Calvin Bostic,"Citra, Florida",North Marion County HS
2024 Track and Field ,Joshua Brockman,"Charlotte, North Carolina",Ardrey Kell High School
2024 Track and Field ,Kai Chang,"Kingston, Jamaica",Calabar High School
2024 Track and Field ,Orlando Cicilioni,"Sarasota, Florida",Sarasota High School
2024 Track and Field ,Malcolm Clemons,"Oakland, California",IMG Academy
2024 Track and Field ,Sean Dixon-Bodie,"Bloomfield, Connecticut",Bloomfield High School
2024 Track and Field ,Michael Fiore,"Fort Lauderdale, Florida",Fort Lauderdale High School
2024 Track and Field ,Caleb Foster,"Fresno, California",Clovis North High School
2024 Track and Field ,Ethan Geiger,"Tampa, Florida",Robinson High School
2024 Track and Field ,Zach Godbold,"Tampa, Florida",Wharton High School
2024 Track and Field ,Robert Gregory,"Houston, Texas",Wheatley High School
2024 Track and Field ,Will Gross IV,"Newfane, New York",St. Joseph's College Institute
2024 Track and Field ,Reheem Hayles,"Springfield Gardens, New York",Springfield Gardens High School
2024 Track and Field ,Michael Holloway II,"Gainesville, Florida",Oak Hall High School
2024 Track and Field ,Edward Kepran,"Panama City Beach, Florida",Arnold High School
2024 Track and Field ,Parvej Khan,"Madhya Pradesh, India",not listed
2024 Track and Field ,Josh King,"Tampa, Florida",Steinbrenner High School
2024 Track and Field ,Braxton Legg,"Odessa, Florida",Cambridge Christian High School
2024 Track and Field ,Reed Legg,"Tampa, Florida",Cambridge Christian High School
2024 Track and Field ,Adam Magoulas,"Miami, Florida",Belen Jesuit High School
2024 Track and Field ,Ryan Maseman,"Plainfield, Illinois",Plainfield North High School
2024 Track and Field ,Jordan McCants,"Roswell, Georgia",Blessed Trinity High School
2024 Track and Field ,Ryan McCloskey,"Flemington, New Jersey",Hunterdon Central High School
2024 Track and Field ,Wanya McCoy,"Berry Island, Bahamas",Queens College High School
2024 Track and Field ,Jenoah McKiver,"High Point, North Carolina",T.W. Andrews High School
2024 Track and Field ,Eoin  McNally,"Decatur, Georgia",Decatur High School
2024 Track and Field ,Jacob Miley,"Palm Coast, Florida",Flagler Palm Coast High School
2024 Track and Field ,Alec Miller,"Sarasota, Florida",Sarasota High School
2024 Track and Field ,Emerson Miller,"Gainesville, Florida",Buchholz High School
2024 Track and Field ,Logan Montgomery,"Rossville, Georgia",Ridgeland High School
2024 Track and Field ,Matt Mule',"Boca Raton, Florida",Saint Andrews High School
2024 Track and Field ,Noah Musselwhite,"Apopka, Florida",Apopka High School
2024 Track and Field ,Gavin Nelson,"Jacksonville, Florida",Mandarin High School
2024 Track and Field ,Riley Novack,"Tavares, Florida",Monteverde Academy
2024 Track and Field ,Miguel Pantojas,"Oviedo, Florida",Hagerty High School
2024 Track and Field ,Alejandro Pena,"Tampa, Florida",Sunlake High School
2024 Track and Field ,Joseph Perazzo,"Staten Island, New York",Susan Wagner High School
2024 Track and Field ,Jonathan Pitchford,"Marathon, Florida",Marathon High School
2024 Track and Field ,Jevaughn Powell,"Clarendon, Jamaica",Kingston College High School
2024 Track and Field ,Rios Prude Jr.,"Rockledge, Florida",Rockledge High School
2024 Track and Field ,Chase Ruskin,"St. Johns, Florida",Bartram Trail High School
2024 Track and Field ,Abraham Sargent,"Pell City, Alabama",Mississippi College High School
2024 Track and Field ,Ashton Schwartzman,"Wautoma, Wisconsin",IMG Academy
2024 Track and Field ,Malique Smith-Band,"Kingston, Jamaica",Jamaica College High School
2024 Track and Field ,Josh Stern,"Melbourne, Florida",Satellite High School
2024 Track and Field ,Matthew Stratton,"Orange Park, Florida",St. John’s Country Day High School
2024 Track and Field ,Joey Stravato,"Orlando, Florida",West Orange High School
2024 Track and Field ,Oliver Thorner,"Street, England",Millfield High School
2024 Track and Field ,Javi Vento,"Miami, Florida",Belen Jesuit High School
2024 Track and Field ,Aiden Villasuso,"Miami, Florida",Belen Jesuit High School
2024 Track and Field ,Joe Wester,"Jupiter, Florida",Satellite High School
2024 Track and Field ,Kevar Williams,"DeLand, Florida",DeLand High School
2024 Track and Field ,Mac Wright,"Lithia, Florida",Newsome High School
2023 Cross Country ,Flomena Asekol,"Kapenguria, Kenya",Sing'ore Girls High School
2023 Cross Country ,Caroline Bauer,"Williamsburg, Virginia",Jamestown High School
2023 Cross Country ,Sayla Donnelley,"Robina, Australia",King's Christian College High School
2023 Cross Country ,Allison Drummond,"Gainesville, Florida",Buchholz High School
2023 Cross Country ,Kate Drummond,"Gainesville, Florida",Buchholz High School
2023 Cross Country ,Olivia Jones,"Hopkinton, Massachusetts",Hopkinton High School
2023 Cross Country ,Ashley Klingenberg,"Altamonte Springs, Florida",Lake Brantley High School
2023 Cross Country ,Annie Loehle,"Jacksonville, Florida",Mandarin High School
2023 Cross Country ,Amelia Mazza-Downie,"Melbourne, Australia",Maribyrnong Secondary
2023 Cross Country ,Stephanie Ormsby,"Fort Myers, Florida",Fort Myers High School
2023 Cross Country ,Rylee Pustilnik,"Delray Beach, Florida",Spanish River High School
2023 Cross Country ,Lucinda  Rourke,"Melbourne, Australia",Haileybury Girls College High School
2023 Cross Country ,Keleigh Scallon,"Tampa, Florida",Newsome High School
2023 Cross Country ,Jordan Shapiro,"Miami, Florida",Miami Palmetto High School
2023 Cross Country ,Vasileia Spyrou,"Palaion Faliro, Greece, P.C.",2nd Daily High School of Palaion Faliro
2023 Cross Country ,Breanna Stuart,"Canyon, Texas",Canyon High School
2023 Cross Country ,Elise Thorner,"Langport, England",Millfield High School
2023 Cross Country ,Haley Thornton,"Palm Harbor, Florida",Palm Harbor University High School
2023 Cross Country ,Parker Valby,"Tampa, Florida",East Lake High School
2023 Cross Country ,Allison Wilson,"Montgomery, Texas",Montgomery High School
2023 Cross Country ,Liina Winborn,"Turku, Finland",Sunlake High School
2023 Cross Country ,Orlando Cicilioni,"Sarasota, Florida",Sarasota High School
2023 Cross Country ,Michael Fiore,"Fort Lauderdale, Florida",Fort Lauderdale High School
2023 Cross Country ,Ethan Geiger,"Tampa, Florida",Robinson High School
2023 Cross Country ,Parvej Khan,"Madhya Pradesh, India",not listed
2023 Cross Country ,Josh King,"Tampa, Florida",Steinbrenner High School
2023 Cross Country ,Braxton Legg,"Odessa, Florida",Cambridge Christian High School
2023 Cross Country ,Reed Legg,"Tampa, Florida",Cambridge Christian High School
2023 Cross Country ,Adam Magoulas,"Miami, Florida",Belen Jesuit Preparatory School
2023 Cross Country ,Eoin McNally,"Decatur, Georgia",Decatur High School
2023 Cross Country ,Alec Miller,"Sarasota, Florida",Sarasota High School
2023 Cross Country ,Emerson Miller,"Gainesville, Florida",Buchholz High School
2023 Cross Country ,Ryan Miller,"Severn, Maryland",Archbishop Spalding High School
2023 Cross Country ,Matt Mule',"Boca Raton, Florida",Saint Andrew's High School
2023 Cross Country ,Gavin Nelson,"Jacksonville, Florida",Mandarin High School
2023 Cross Country ,Riley Novack,"Tavares, Florida",Monteverde Academy
2023 Cross Country ,Alejandro Peña,"Tampa, Florida",Sunlake High School
2023 Cross Country ,Joseph Perazzo,"Staten Island, New York",Susan Wagner High School
2023 Cross Country ,Jonathan Pitchford,"Marathon, Florida",Marathon High School
2023 Cross Country ,Josh Stern,"Melbourne, Florida",Satellite High School
2023 Cross Country ,Matthew Stratton,"Orange Park, Florida",St. John's Country Day High School
2023 Cross Country ,Javi Vento,"Miami, Florida",Belen Jesuit Preparatory School
2023 Cross Country ,Aiden Villasuso,"Miami, Florida",Belen Jesuit Preparatory School
2023 Cross Country ,Joe Wester,"Jupiter, Florida",Satellite High School
2023 Cross Country ,Mac Wright,"Lithia, Florida",Newsome High School
